"site","parameter","datetime","date","year","month","day","hour","aqi","aqi_categ","unit","duration","qc_name"
"Hanoi","PM2.5 - Principal",2015-12-13 08:00:00,2015-12-13,2015,12,13,8,84.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 09:00:00,2015-12-13,2015,12,13,9,83,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 10:00:00,2015-12-13,2015,12,13,10,107.1,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 11:00:00,2015-12-13,2015,12,13,11,110.6,"Unhealthy for Sensitive Groups","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 12:00:00,2015-12-13,2015,12,13,12,99.6,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 13:00:00,2015-12-13,2015,12,13,13,58.9,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 14:00:00,2015-12-13,2015,12,13,14,56,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 15:00:00,2015-12-13,2015,12,13,15,59,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 16:00:00,2015-12-13,2015,12,13,16,61.3,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 17:00:00,2015-12-13,2015,12,13,17,70.8,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 18:00:00,2015-12-13,2015,12,13,18,66.2,"Moderate","UG/M3","1 Hr","Valid"
"Hanoi","PM2.5 - Principal",2015-12-13 19:00:00,2015-12-13,2015,12,13,19,75.9,"Moderate","UG/M3","1 Hr","Valid"
